vendor_field,vendor_type,fgt_type,fgt_subtype,ecs_field,transform,required,notes
# ─────────────────────────────────────────────────────────────────────────────
# FortiGate 7.6.x — type=utm, subtype=ips
# Classe legal: SEGURANÇA — sem obrigação direta do Marco Civil; retenção por
# política interna (recomendado: 90 dias, alinhado ao ciclo de resposta a incidentes)
# Fonte: docs.fortinet.com/document/fortigate/7.0.7/administration-guide/535363
#        docs.fortinet.com/document/fortigate/6.2.0/cookbook/986892/sample-logs-by-log-type
# ─────────────────────────────────────────────────────────────────────────────

date,date,utm,ips,event.created,epoch_to_iso,true,
time,date,utm,ips,@timestamp,epoch_to_iso,true,
eventtime,date,utm,ips,event.start,epoch_to_iso,false,
logid,string,utm,ips,event.code,copy,true,"Ex: 0419016384"
eventtype,string,utm,ips,event.action,to_lowercase,true,"signature ou anomaly"
type,string,utm,ips,event.kind,derived,true,"Valor fixo: 'event'"
subtype,string,utm,ips,event.category,derived,true,"Mapeado para ['intrusion_detection']"
level,string,utm,ips,log.level,copy,false,"alert, critical..."
vd,string,utm,ips,labels.fgt_vd,copy,false,
msg,string,utm,ips,message,copy,false,

# --- Origem e destino ---
srcip,ip,utm,ips,source.ip,ip_validate,true,"IP de origem do ataque/anomalia detectada"
srcport,integer,utm,ips,source.port,to_int,false,
srcintf,string,utm,ips,observer.ingress.interface.name,copy,false,
srccountry,string,utm,ips,source.geo.country_name,copy,false,
dstip,ip,utm,ips,destination.ip,ip_validate,true,
dstport,integer,utm,ips,destination.port,to_int,false,
dstintf,string,utm,ips,observer.egress.interface.name,copy,false,
direction,string,utm,ips,network.direction,to_lowercase,false,"incoming/outgoing — direção do ataque, mapear para inbound/outbound no VRL"

# --- A assinatura/ameaça detectada (o motivo deste log existir) ---
attack,string,utm,ips,rule.name,copy,true,"Nome da assinatura IPS ou padrão de anomalia (ex: 'Adobe.Flash.newfunction...')"
attackid,string,utm,ips,rule.id,copy,true,"ID da assinatura — keyword no ECS"
severity,string,utm,ips,labels.fgt_severity,copy,true,"critical/high/medium/low/info"
ref,string,utm,ips,rule.reference,copy,false,"URL de referência da assinatura (fortinet.com/ids/VID...)"
profile,string,utm,ips,rule.ruleset,copy,false,"Nome do sensor IPS aplicado"
attackcontext,string,utm,ips,labels.fgt_attackcontext,discard,false,"Payload capturado do ataque — potencialmente sensível/grande; descartado por padrão"
count,integer,utm,ips,labels.fgt_anomaly_count,to_int,false,"Contagem de ocorrências — presente em logs de anomaly"

# --- Ação e política ---
action,string,utm,ips,event.outcome,conditional,true,"dropped/blocked/clear_session → success (mitigado); detected/pass → failure (não bloqueado)"
policyid,string,utm,ips,rule.id,discard,false,"Redundante com attackid como identificador principal; policyid do firewall mantido apenas se necessário via labels"
policytype,string,utm,ips,labels.fgt_policytype,copy,false,"policy ou DoS-policy"

# --- Sessão e protocolo ---
sessionid,string,utm,ips,event.id,copy,false,
proto,string,utm,ips,network.iana_number,copy,false,
service,string,utm,ips,network.protocol,to_lowercase,false,
hostname,string,utm,ips,url.domain,to_lowercase,false,"Presente quando o ataque envolve HTTP"
url,string,utm,ips,url.path,copy,false,

# --- Enriquecimento Vector ---
_enrichment_observer_ip,ip,utm,ips,observer.ip,derived,true,
_enrichment_observer_hostname,string,utm,ips,observer.hostname,derived,true,
_enrichment_observer_type,string,utm,ips,observer.type,derived,true,"Valor fixo: 'firewall'"
_enrichment_observer_vendor,string,utm,ips,observer.vendor,derived,true,"Valor fixo: 'Fortinet'"
_enrichment_observer_product,string,utm,ips,observer.product,derived,true,"Valor fixo: 'FortiGate'"
_enrichment_related_ip,ip,utm,ips,related.ip,derived,true,"Array [source.ip, destination.ip]"
_enrichment_event_kind_alert,string,utm,ips,event.kind,derived,false,"Sobrescrito para 'alert' quando severity=critical|high — decisão tomada no VRL"

# ─────────────────────────────────────────────────────────────────────────────
# FortiGate 7.6.x — type=utm, subtype=virus (antivírus)
